specification,dependent,n_obs,R2,R2_adj,F_pvalue,beta_diesel_logret_lag1,p_diesel_logret_lag1,beta_sent_lag1,p_sent_lag1,beta_sent_tha_lag1,p_sent_tha_lag1,beta_gpr_lag1,p_gpr_lag1,beta_d_epu_us_lag1,p_d_epu_us_lag1,beta_gasohol95_logret_lag1,p_gasohol95_logret_lag1
Diesel: AR(1) baseline,diesel_logret,94,0.17255512146755447,0.16356115539654958,3.136880617426584e-05,0.41674009871149925,3.1368806174266695e-05,,,,,,,,,,
Diesel: sentiment_lag1 only,diesel_logret,95,0.0010294575015232788,-0.0097121612350195,0.7575748654971146,,,-0.013225890007495762,0.7575748654970581,,,,,,,,
Diesel: sentiment_tha_lag1 only,diesel_logret,93,0.20139255827729652,0.1926166523242998,6.4338964916083336e-06,,,,,-0.10633345471798583,6.433896491608392e-06,,,,,,
Diesel: GPR_lag1 only,diesel_logret,95,0.004953527622096221,-0.005745896812074713,0.4979290026815523,,,,,,,7.011056808122993e-05,0.497929002681541,,,,
Diesel: AR(1) + sentiment_lag1,diesel_logret,94,0.17267548883029182,0.15449253254084772,0.00017957796986511592,0.4161517037231416,3.6267271400485104e-05,-0.004550397378372947,0.908648400812524,,,,,,,,
Diesel: AR(1) + sentiment_tha_lag1,diesel_logret,92,0.2674931481599756,0.2510323200287391,9.640959714310662e-07,0.28113826065998354,0.0057708135197057355,,,-0.07974278626236392,0.0010204414275265812,,,,,,
Diesel: AR(1) + sentiment + GPR + EPU,diesel_logret,94,0.1852019275485437,0.14858178946083767,0.0010173408532120085,0.3764145119280633,0.0004280720937035668,-0.0015099740105300502,0.9716079520745888,,,5.916322015556001e-05,0.561087258318306,-7.00004448655729e-05,0.2983643192087207,,
Gasohol 95: AR(1) baseline,gasohol95_logret,94,0.11391124245426643,0.10427984291572578,0.000878959644331754,,,,,,,,,,,0.33739097700405296,0.0008789596443317598
Gasohol 95: sentiment_lag1 only,gasohol95_logret,95,0.0008470296655129772,-0.009896550660664305,0.7794985765889152,,,-0.015848485809624436,0.77949857658892,,,,,,,,
Gasohol 95: sentiment_tha_lag1 only,gasohol95_logret,93,0.20644282171613437,0.19772241316356443,4.766659134881205e-06,,,,,-0.1421509192944938,4.766659134881205e-06,,,,,,
Gasohol 95: AR(1) + sentiment_lag1,gasohol95_logret,94,0.11406733283341719,0.09459628520338248,0.004043268376726221,,,0.006893254463607965,0.8995191180567332,,,,,,,0.3390541936173353,0.0009784472500590567
Gasohol 95: AR(1) + sentiment_tha_lag1,gasohol95_logret,92,0.22512846044682133,0.20771561686135664,1.1768526498235432e-05,,,,,-0.1188530294611145,0.0006165636624111935,,,,,0.15473308869200375,0.1548571504259923
Gasohol 95: AR(1) + sentiment + GPR + EPU,gasohol95_logret,94,0.15714389298949283,0.1192627196407059,0.003969470161041402,,,-0.004299548050914371,0.9401665220098194,,,3.6980345759520965e-05,0.7874188675674787,-0.00018724304158062652,0.03598437453049272,0.2734230491043293,0.009445345483822223
