year,month,China News-Based EPU
1995,1,292
1995,2,197
1995,3,123
1995,4,203
1995,5,146
1995,6,93
1995,7,36
1995,8,58
1995,9,53
1995,10,133
1995,11,141
1995,12,146
1996,1,187
1996,2,110
1996,3,129
1996,4,110
1996,5,109
1996,6,59
1996,7,47
1996,8,53
1996,9,51
1996,10,48
1996,11,100
1996,12,88
1997,1,94
1997,2,142
1997,3,37
1997,4,131
1997,5,54
1997,6,111
1997,7,112
1997,8,21
1997,9,56
1997,10,84
1997,11,78
1997,12,10
1998,1,106
1998,2,117
1998,3,55
1998,4,28
1998,5,45
1998,6,83
1998,7,64
1998,8,48
1998,9,55
1998,10,96
1998,11,28
1998,12,61
1999,1,111
1999,2,102
1999,3,98
1999,4,0
1999,5,129
1999,6,133
1999,7,71
1999,8,31
1999,9,95
1999,10,71
1999,11,83
1999,12,34
2000,1,43
2000,2,13
2000,3,60
2000,4,35
2000,5,93
2000,6,37
2000,7,0
2000,8,24
2000,9,76
2000,10,48
2000,11,183
2000,12,144
2001,1,57
2001,2,53
2001,3,72
2001,4,126
2001,5,128
2001,6,68
2001,7,112
2001,8,157
2001,9,259
2001,10,399
2001,11,156
2001,12,169
2002,1,184
2002,2,82
2002,3,150
2002,4,140
2002,5,25
2002,6,141
2002,7,97
2002,8,149
2002,9,218
2002,10,153
2002,11,138
2002,12,102
2003,1,164
2003,2,113
2003,3,231
2003,4,119
2003,5,110
2003,6,124
2003,7,141
2003,8,128
2003,9,141
2003,10,98
2003,11,43
2003,12,92
2004,1,163
2004,2,71
2004,3,70
2004,4,57
2004,5,168
2004,6,91
2004,7,70
2004,8,94
2004,9,99
2004,10,156
2004,11,106
2004,12,135
2005,1,91
2005,2,29
2005,3,84
2005,4,88
2005,5,145
2005,6,45
2005,7,35
2005,8,91
2005,9,65
2005,10,52
2005,11,100
2005,12,54
2006,1,73
2006,2,83
2006,3,79
2006,4,103
2006,5,64
2006,6,100
2006,7,45
2006,8,47
2006,9,56
2006,10,67
2006,11,44
2006,12,46
2007,1,104
2007,2,42
2007,3,60
2007,4,64
2007,5,61
2007,6,81
2007,7,124
2007,8,53
2007,9,73
2007,10,102
2007,11,118
2007,12,130
2008,1,128
2008,2,124
2008,3,89
2008,4,146
2008,5,90
2008,6,116
2008,7,131
2008,8,182
2008,9,311
2008,10,190
2008,11,185
2008,12,246
2009,1,217
2009,2,196
2009,3,220
2009,4,140
2009,5,123
2009,6,157
2009,7,70
2009,8,73
2009,9,116
2009,10,88
2009,11,66
2009,12,45
2010,1,80
2010,2,45
2010,3,59
2010,4,36
2010,5,120
2010,6,80
2010,7,63
2010,8,106
2010,9,83
2010,10,84
2010,11,55
2010,12,42
2011,1,93
2011,2,12
2011,3,67
2011,4,92
2011,5,20
2011,6,19
2011,7,86
2011,8,93
2011,9,97
2011,10,159
2011,11,228
2011,12,178
2012,1,170
2012,2,104
2012,3,89
2012,4,84
2012,5,105
2012,6,165
2012,7,156
2012,8,69
2012,9,106
2012,10,122
2012,11,132
2012,12,103
2013,1,134
2013,2,56
2013,3,29
2013,4,74
2013,5,56
2013,6,52
2013,7,118
2013,8,125
2013,9,100
2013,10,73
2013,11,61
2013,12,55
2014,1,49
2014,2,56
2014,3,103
2014,4,66
2014,5,38
2014,6,54
2014,7,74
2014,8,59
2014,9,91
2014,10,91
2014,11,47
2014,12,63
2015,1,105
2015,2,93
2015,3,20
2015,4,60
2015,5,82
2015,6,65
2015,7,175
2015,8,152
2015,9,258
2015,10,138
2015,11,81
2015,12,68
2016,1,108
2016,2,178
2016,3,136
2016,4,116
2016,5,147
2016,6,212
2016,7,258
2016,8,204
2016,9,156
2016,10,155
2016,11,333
2016,12,362
2017,1,428
2017,2,444
2017,3,331
2017,4,246
2017,5,313
2017,6,307
2017,7,263
2017,8,277
2017,9,227
2017,10,169
2017,11,141
2017,12,177
2018,1,155
2018,2,179
2018,3,195
2018,4,213
2018,5,280
2018,6,298
2018,7,327
2018,8,419
2018,9,408
2018,10,561
2018,11,469
2018,12,658
2019,1,536
2019,2,654
2019,3,528
2019,4,471
2019,5,658
2019,6,765
2019,7,506
2019,8,755
2019,9,677
2019,10,785
2019,11,599
2019,12,767
2020,1,620
2020,2,610
2020,3,643
2020,4,672
2020,5,766
2020,6,848
2020,7,788
2020,8,771
2020,9,685
2020,10,732
2020,11,856
2020,12,529
2021,1,633
2021,2,471
2021,3,375
2021,4,351
2021,5,375
2021,6,281
2021,7,402
2021,8,427
2021,9,325
2021,10,276
2021,11,272
2021,12,389
2022,1,286
2022,2,259
2022,3,527
2022,4,535
2022,5,407
2022,6,356
2022,7,399
2022,8,431
2022,9,521
2022,10,552
2022,11,810
2022,12,625
2023,1,529
2023,2,514
2023,3,523
2023,4,256
2023,5,405
2023,6,385
2023,7,435
2023,8,472
2023,9,642
2023,10,348
2023,11,462
2023,12,502
2024,1,606
2024,2,678
2024,3,558
2024,4,407
2024,5,322
2024,6,412
2024,7,730
2024,8,549
2024,9,425
2024,10,477
2024,11,875
2024,12,681
2025,1,874
2025,2,602
2025,3,772
2025,4,1401
2025,5,881
2025,6,753
2025,7,723
2025,8,616
2025,9,563
2025,10,637
2025,11,537
2025,12,593
2026,1,890
"Source: 'Economic Policy Uncertainty in China' by Scott Baker, Nicholas Bloom, Steven J. Davis and Sophie Wang (2013)  at www.PolicyUncertainty.com.  These data can be used freely with attribution to the authors, the paper, and the website.",,
