Year,Month,News_Based_Policy_Uncert_Index
2026,3,382
2026,2,374
2026,1,371
2025,12,289
2025,11,312
2025,10,308
2025,9,320
2025,8,371
2025,7,372
2025,6,376
2025,5,564
2025,4,725
2025,3,446
2025,2,329
2025,1,237
2024,12,219
2024,11,225
2024,10,109
2024,9,127
2024,8,138
2024,7,145
2024,6,144
2024,5,124
2024,4,139
2024,3,117
2024,2,107
2024,1,131
2023,12,107
2023,11,141
2023,10,134
2023,9,118
2023,8,77
2023,7,133
2023,6,179
2023,5,205
2023,4,165
2023,3,200
2023,2,153
2023,1,161
2022,12,150
2022,11,210
2022,10,207
2022,9,202
2022,8,183
2022,7,223
2022,6,153
2022,5,190
2022,4,169
2022,3,229
2022,2,140
2022,1,155
2021,12,201
2021,11,176
2021,10,137
2021,9,171
2021,8,157
2021,7,182
2021,6,149
2021,5,172
2021,4,141
2021,3,167
2021,2,188
2021,1,261
2020,12,327
2020,11,328
2020,10,306
2020,9,253
2020,8,263
2020,7,428
2020,6,300
2020,5,504
2020,4,401
2020,3,426
2020,2,216
2020,1,165
2019,12,191
2019,11,170
2019,10,160
2019,9,187
2019,8,283
2019,7,208
2019,6,208
2019,5,161
2019,4,110
2019,3,181
2019,2,124
2019,1,284
2018,12,227
2018,11,165
2018,10,136
2018,9,121
2018,8,115
2018,7,176
2018,6,134
2018,5,162
2018,4,139
2018,3,187
2018,2,115
2018,1,161
2017,12,140
2017,11,111
2017,10,126
2017,9,117
2017,8,138
2017,7,141
2017,6,121
2017,5,130
2017,4,158
2017,3,155
2017,2,178
2017,1,195
2016,12,161
2016,11,254
2016,10,108
2016,9,86
2016,8,107
2016,7,164
2016,6,234
2016,5,96
2016,4,96
2016,3,130
2016,2,148
2016,1,155
2015,12,102
2015,11,90
2015,10,111
2015,9,172
2015,8,157
2015,7,99
2015,6,116
2015,5,102
2015,4,104
2015,3,96
2015,2,88
2015,1,121
2014,12,87
2014,11,93
2014,10,113
2014,9,86
2014,8,64
2014,7,79
2014,6,86
2014,5,102
2014,4,97
2014,3,101
2014,2,93
2014,1,108
2013,12,115
2013,11,90
2013,10,225
2013,9,180
2013,8,109
2013,7,91
2013,6,127
2013,5,109
2013,4,135
2013,3,146
2013,2,129
2013,1,199
2012,12,215
2012,11,206
2012,10,166
2012,9,182
2012,8,143
2012,7,181
2012,6,197
2012,5,136
2012,4,97
2012,3,99
2012,2,119
2012,1,154
2011,12,183
2011,11,144
2011,10,138
2011,9,214
2011,8,284
2011,7,207
2011,6,139
2011,5,85
2011,4,125
2011,3,154
2011,2,105
2011,1,111
2010,12,152
2010,11,175
2010,10,155
2010,9,187
2010,8,127
2010,7,197
2010,6,130
2010,5,148
2010,4,124
2010,3,125
2010,2,117
2010,1,137
2009,12,108
2009,11,100
2009,10,86
2009,9,99
2009,8,111
2009,7,104
2009,6,112
2009,5,126
2009,4,108
2009,3,168
2009,2,203
2009,1,185
2008,12,158
2008,11,163
2008,10,242
2008,9,238
2008,8,81
2008,7,115
2008,6,89
2008,5,89
2008,4,98
2008,3,114
2008,2,108
2008,1,177
2007,12,117
2007,11,107
2007,10,91
2007,9,110
2007,8,90
2007,7,45
2007,6,69
