Date,Thailand_all,Thailand_initiator,Thailand_respondent,Thailand_spillover
01-01-60,0,0,0,0
01-02-60,0,0,0,0
01-03-60,0,0,0,0
01-04-60,0,0,0,0
01-05-60,2.1164,0,0.5291,1.5873
01-06-60,1.0691,0.3564,0,0.7127
01-07-60,0.2188,0.2188,0,0
01-08-60,4.3508,0,0.2417,4.1091
01-09-60,7.7267,2.6204,0,5.1064
01-10-60,2.008,0,0,2.008
01-11-60,2.6199,0.524,0.262,1.8339
01-12-60,6.6,0.3,0,6.3
01-01-61,6.106,0,0,6.106
01-02-61,0.5937,0,0,0.5937
01-03-61,16.5304,1.326,0.5304,14.6741
01-04-61,4.2314,0,0,4.2314
01-05-61,10.91,0.7793,1.5586,8.5721
01-06-61,2.9092,0.2645,0,2.6447
01-07-61,0.2318,0,0.2318,0
01-08-61,0,0,0,0
01-09-61,0.651,0.217,0.217,0.217
01-10-61,4.0766,0.492,0.6326,2.952
01-11-61,1.4868,0,0.4956,0.9912
01-12-61,1.3552,0.2259,0,1.1293
01-01-62,1.4396,0,0.2399,1.1997
01-02-62,2.2671,0.9068,0.272,1.0882
01-03-62,2.1819,0,1.0909,1.0909
01-04-62,1.2797,0.2559,0.5119,0.5119
01-05-62,29.1604,0.2108,9.2751,19.6745
01-06-62,5.2843,1.201,1.9216,2.1618
01-07-62,3.0373,0.2761,1.1045,1.6567
01-08-62,2.5539,1.0945,0.5473,0.9121
01-09-62,3.0243,0.6049,0.2016,2.2178
01-10-62,1.402,0,0.5257,0.8762
01-11-62,0.6089,0,0.4059,0.203
01-12-62,0.2586,0,0,0.2586
01-01-63,1.0834,0.5,0.25,0.3333
01-02-63,0.8419,0,0,0.8419
01-03-63,0.8048,0,0.5365,0.2683
01-04-63,8.1152,0.2618,0.5236,7.3299
01-05-63,1.8216,0,0.7807,1.0409
01-06-63,1.9538,0,0.3256,1.6281
01-07-63,0.7384,0,0.3692,0.3692
01-08-63,1.5488,0,0.3098,1.239
01-09-63,1.5505,0.3101,0,1.2404
01-10-63,0,0,0,0
01-11-63,2.9094,2.0366,0,0.8728
01-12-63,2.096,0,0.2994,1.7966
01-01-64,0.9076,0,0.4538,0.4538
01-02-64,3.9845,0,0.4688,3.5158
01-03-64,2.3807,0,0,2.3807
01-04-64,2.4703,0,0.247,2.2233
01-05-64,8.8697,0.1957,0.3913,8.2827
01-06-64,5.4949,0,0.4338,5.0611
01-07-64,2.3064,0,0.2471,2.0593
01-08-64,1.8683,0,0.3737,1.4947
01-09-64,0.6556,0,0,0.6556
01-10-64,0,0,0,0
01-11-64,0.5561,0,0,0.5561
01-12-64,1.1726,0.4691,0.2345,0.4691
01-01-65,1.2053,0,0.4821,0.7232
01-02-65,4.9161,0.2201,1.174,3.522
01-03-65,2.8165,0.6035,1.2071,1.0059
01-04-65,1.9234,0,0.1923,1.731
01-05-65,2.4593,0.1892,0.7567,1.5134
01-06-65,2.1114,0.4692,0.4692,1.173
01-07-65,0.9381,0,0,0.9381
01-08-65,1.1299,0.226,0.4519,0.4519
01-09-65,0.7462,0.1866,0.1866,0.3731
01-10-65,0.209,0,0,0.209
01-11-65,1.6839,0.2406,0.7217,0.7217
01-12-65,3.043,0.4347,1.2317,1.3766
